x            y_obs        weight       y_calc       y_bkg        
40.0         108.705      0.0092       100.852      100.0        
40.01        98.713       0.01013      100.856      100.0        
40.02        117.0        0.00855      100.861      100.0        
40.03        97.729       0.01023      100.865      100.0        
40.04        120.738      0.00828      100.869      100.0        
40.05        84.0         0.0119       100.873      100.0        
40.06        109.0        0.00917      100.877      100.0        
40.07        91.0         0.01099      100.882      100.0        
40.08        108.0        0.00926      100.886      100.0        
40.09        89.781       0.01114      100.89       100.0        
40.1         117.79       0.00849      100.895      100.0        
40.11        73.798       0.01355      100.899      100.0        
40.12        110.807      0.00902      100.904      100.0        
40.13        85.816       0.01165      100.908      100.0        
40.14        102.0        0.0098       100.913      100.0        
40.15        95.0         0.01053      100.917      100.0        
40.16        109.0        0.00917      100.922      100.0        
40.17        94.853       0.01054      100.927      100.0        
40.18        106.862      0.00936      100.931      100.0        
40.19        87.872       0.01138      100.936      100.0        
40.2         124.0        0.00806      100.941      100.0        
40.21        98.891       0.01011      100.945      100.0        
40.22        102.0        0.0098       100.95       100.0        
40.23        99.91        0.01001      100.955      100.0        
40.24        109.0        0.00917      100.96       100.0        
40.25        87.0         0.01149      100.965      100.0        
40.26        116.0        0.00862      100.97       100.0        
40.27        98.95        0.01011      100.975      100.0        
40.28        107.96       0.00926      100.98       100.0        
40.29        95.97        0.01042      100.985      100.0        
40.3         103.98       0.00962      100.99       100.0        
40.31        91.0         0.01099      100.995      100.0        
40.32        113.0        0.00885      101.001      100.0        
40.33        96.0         0.01042      101.006      100.0        
40.34        108.022      0.00926      101.011      100.0        
40.35        100.0        0.01         101.016      100.0        
40.36        113.0        0.00885      101.022      100.0        
40.37        92.0         0.01087      101.027      100.0        
40.38        103.065      0.0097       101.033      100.0        
40.39        90.0         0.01111      101.038      100.0        
40.4         102.088      0.0098       101.044      100.0        
40.41        74.099       0.0135       101.049      100.0        
40.42        105.0        0.00952      101.055      100.0        
40.43        90.121       0.0111       101.061      100.0        
40.44        103.0        0.00971      101.066      100.0        
40.45        91.0         0.01099      101.072      100.0        
40.46        104.156      0.0096       101.078      100.0        
40.47        90.0         0.01111      101.084      100.0        
40.48        113.0        0.00885      101.09       100.0        
40.49        99.0         0.0101       101.096      100.0        
40.5         103.0        0.00971      101.102      100.0        
40.51        80.0         0.0125       101.108      100.0        
40.52        125.0        0.008        101.114      100.0        
40.53        101.0        0.0099       101.12       100.0        
40.54        106.0        0.00943      101.127      100.0        
40.55        100.0        0.01         101.133      100.0        
40.56        102.279      0.00978      101.139      100.0        
40.57        96.0         0.01042      101.146      100.0        
40.58        107.304      0.00932      101.152      100.0        
40.59        96.0         0.01042      101.159      100.0        
40.6         110.331      0.00906      101.165      100.0        
40.61        91.0         0.01099      101.172      100.0        
40.62        106.0        0.00943      101.179      100.0        
40.63        99.0         0.0101       101.185      100.0        
40.64        105.384      0.00949      101.192      100.0        
40.65        98.0         0.0102       101.199      100.0        
40.66        104.412      0.00958      101.206      100.0        
40.67        98.426       0.01016      101.213      100.0        
40.68        104.44       0.00957      101.22       100.0        
40.69        96.454       0.01037      101.227      100.0        
40.7         108.0        0.00926      101.234      100.0        
40.71        82.0         0.0122       101.242      100.0        
40.72        125.498      0.00797      101.249      100.0        
40.73        101.0        0.0099       101.256      100.0        
40.74        103.527      0.00966      101.264      100.0        
40.75        96.542       0.01036      101.271      100.0        
40.76        104.0        0.00962      101.279      100.0        
40.77        94.0         0.01064      101.286      100.0        
40.78        102.0        0.0098       101.294      100.0        
40.79        90.0         0.01111      101.302      100.0        
40.8         107.0        0.00935      101.31       100.0        
40.81        100.635      0.00994      101.318      100.0        
