x            y_obs        weight       y_calc       y_bkg        
1.959        64.026       0.01562      0.0          0.0          
1.968        68.154       0.01467      0.0          0.0          
1.977        68.248       0.01465      0.0          0.0          
1.986        62.479       0.01601      0.0          0.0          
1.995        64.724       0.01545      0.0          0.0          
2.005        67.39        0.01484      0.0          0.0          
2.014        72.349       0.01382      0.0          0.0          
2.023        66.337       0.01507      0.0          0.0          
2.032        60.846       0.01643      0.0          0.0          
2.041        62.266       0.01606      0.0          0.0          
2.05         57.752       0.01732      0.0          0.0          
2.059        60.648       0.01649      0.0          0.0          
2.069        58.255       0.01717      0.0          0.0          
2.078        59.146       0.01691      0.0          0.0          
2.087        58.903       0.01698      0.0          0.0          
2.096        56.2         0.01779      0.0          0.0          
2.105        59.262       0.01687      0.0          0.0          
2.114        58.785       0.01701      0.0          0.0          
2.123        58.129       0.0172       0.0          0.0          
2.133        58.574       0.01707      0.0          0.0          
2.142        58.501       0.01709      0.0          0.0          
2.151        60.433       0.01655      0.0          0.0          
2.16         60.602       0.0165       0.0          0.0          
2.169        57.462       0.0174       0.0          0.0          
2.178        59.34        0.01685      0.0          0.0          
2.187        59.233       0.01688      0.0          0.0          
2.197        56.976       0.01755      0.0          0.0          
2.206        55.981       0.01786      0.0          0.0          
2.215        58.199       0.01718      0.0          0.0          
2.224        58.996       0.01695      0.0          0.0          
2.233        57.898       0.01727      0.0          0.0          
2.242        60.569       0.01651      0.0          0.0          
2.251        58.893       0.01698      0.0          0.0          
2.261        60.149       0.01663      0.0          0.0          
2.27         63.772       0.01568      0.0          0.0          
2.279        60.536       0.01652      0.0          0.0          
2.288        62.287       0.01605      0.0          0.0          
2.297        62.4         0.01603      0.0          0.0          
2.306        60.303       0.01658      0.0          0.0          
2.315        59.993       0.01667      0.0          0.0          
2.325        58.031       0.01723      0.0          0.0          
2.334        59.772       0.01673      0.0          0.0          
2.343        57.207       0.01748      0.0          0.0          
2.352        57.837       0.01729      0.0          0.0          
2.361        57.885       0.01728      0.0          0.0          
2.37         59.62        0.01677      0.0          0.0          
2.379        56.97        0.01755      0.0          0.0          
2.389        62.931       0.01589      0.0          0.0          
2.398        58.301       0.01715      0.0          0.0          
2.407        58.995       0.01695      0.0          0.0          
2.416        58.881       0.01698      0.0          0.0          
2.425        59.719       0.01675      0.0          0.0          
2.434        58.455       0.01711      0.0          0.0          
2.443        60.87        0.01643      0.0          0.0          
2.453        58.935       0.01697      0.0          0.0          
2.462        57.493       0.01739      0.0          0.0          
2.471        61.543       0.01625      0.0          0.0          
2.48         58.952       0.01696      0.0          0.0          
2.489        57.408       0.01742      0.0          0.0          
2.498        60.506       0.01653      0.0          0.0          
2.507        58.061       0.01722      0.0          0.0          
2.517        61.613       0.01623      0.0          0.0          
2.526        58.515       0.01709      0.0          0.0          
2.535        61.773       0.01619      0.0          0.0          
2.544        59.374       0.01684      0.0          0.0          
2.553        59.207       0.01689      0.0          0.0          
2.562        57.741       0.01732      0.0          0.0          
2.571        57.863       0.01728      0.0          0.0          
2.581        58.17        0.01719      0.0          0.0          
2.59         57.675       0.01734      0.0          0.0          
2.599        59.573       0.01679      0.0          0.0          
2.608        57.519       0.01739      0.0          0.0          
2.617        58.067       0.01722      0.0          0.0          
2.626        60.845       0.01644      0.0          0.0          
2.635        57.996       0.01724      0.0          0.0          
2.645        59.818       0.01672      0.0          0.0          
2.654        60.651       0.01649      0.0          0.0          
2.663        61.95        0.01614      0.0          0.0          
2.672        57.477       0.0174       0.0          0.0          
2.681        60.416       0.01655      0.0          0.0          
2.69         59.953       0.01668      0.0          0.0          
2.699        57.863       0.01728      0.0          0.0          
2.709        57.913       0.01727      0.0          0.0          
2.718        59.556       0.01679      0.0          0.0          
2.727        59.696       0.01675      0.0          0.0          
2.736        58.8         0.01701      0.0          0.0          
2.745        61.288       0.01632      0.0          0.0          
2.754        60.969       0.0164       0.0          0.0          
2.763        60.983       0.0164       0.0          0.0          
2.773        62.543       0.01599      0.0          0.0          
2.782        61.441       0.01628      0.0          0.0          
2.791        58.331       0.01714      0.0          0.0          
2.8          60.402       0.01656      0.0          0.0          
2.809        63.456       0.01576      0.0          0.0          
2.818        57.688       0.01733      0.0          0.0          
2.827        60.321       0.01658      0.0          0.0          
2.837        58.934       0.01697      0.0          0.0          
2.846        62.777       0.01593      0.0          0.0          
2.855        62.214       0.01607      0.0          0.0          
2.864        62.256       0.01606      0.0          0.0          
2.873        63.271       0.01581      0.0          0.0          
2.882        61.306       0.01631      0.0          0.0          
2.891        60.833       0.01644      0.0          0.0          
2.901        61.106       0.01637      0.0          0.0          
2.91         63.2         0.01582      0.0          0.0          
2.919        60.191       0.01661      0.0          0.0          
2.928        61.443       0.01628      0.0          0.0          
2.937        57.599       0.01736      0.0          0.0          
2.946        61.025       0.01639      0.0          0.0          
2.955        60.503       0.01653      0.0          0.0          
2.965        60.588       0.0165       0.0          0.0          
2.974        61.573       0.01624      0.0          0.0          
2.983        63.963       0.01563      0.0          0.0          
2.992        62.552       0.01599      0.0          0.0          
3.001        61.495       0.01626      0.0          0.0          
3.01         62.785       0.01593      0.0          0.0          
3.019        64.878       0.01541      0.0          0.0          
3.029        62.445       0.01601      0.0          0.0          
3.038        60.834       0.01644      0.0          0.0          
3.047        65.002       0.01538      0.0          0.0          
3.056        62.322       0.01605      0.0          0.0          
3.065        60.762       0.01646      0.0          0.0          
3.074        61.354       0.0163       0.0          0.0          
3.083        63.125       0.01584      0.0          0.0          
3.093        63.231       0.01582      0.0          0.0          
